aquaCultureRegistryVersion,localityNo,municipality,municipalityNo,name
1299,34037,STEIGEN,1848,Kråkåsen
1299,16055,MÅSØY,5618,Kråkeberget
1299,10837,HAMMERFEST,5603,Kraken
1299,11719,SOLUND,4636,Kråkenes
117,13308,IBESTAD,1917,Kråkerø
1299,10614,ALTA,5601,Kråkevik
78,13551,BREMANGER,1438,Krakevika
1299,21676,FLATANGER,5049,Kråkholmen
1299,10764,TROMSØ,5501,Kraknes
1299,12239,AUKRA,1547,Kråknes
1299,34177,TROMSØ,5501,Kraknes II
1299,36997,TROMSØ,5501,Kraknes Sjø
1299,25935,ÅFJORD,5058,Kråkøy Slakteri
1299,12652,NÆRØYSUND,5060,Kråkøya
44,30016,AURE,1576,Kråkøya
1299,45171,NÆRØYSUND,5060,Kråkøyvågen
1299,45172,NÆRØYSUND,5060,Kråkøyvågen II
173,12936,RISØR,0901,Krana
256,25015,NÆRØY,1751,Krekkan
1299,28776,HUSTADVIKA,1579,Krekvikbogen
1299,14040,AUSTEVOLL,4625,Krigsholmen
1299,45070,MÅSØY,5618,Kristianneset
214,11444,BOKN,1145,Kroholmen N.
1299,11633,BØMLO,4613,Krossholmen
1199,11051,HATTFJELLDAL,1826,Krutåga
44,11157,FLAKSTAD,1859,Kubbholmen N
113,11831,FLORA,1401,Kubeta N
446,14681,VÅGAN,1865,Kunakken
1299,45048,VÅGAN,1865,Kunakken Alge
1299,13222,STAVANGER,1103,Kunes
324,22475,FINNØY,1141,Kunes Helgøy
1299,13595,SORTLAND,1870,Kuneset
1299,32518,GULEN,4635,Kuøyna
273,10923,ALSTAHAUG,1820,Kvalholmen Ø
1299,38897,ANDØY,1871,Kvalnes
1043,32657,BODØ,1804,Kvalnesbukta
1299,37697,BODØ,1804,Kvalnesbukta Alge
1299,18217,KARMØY,1149,Kvaløy Ø
1299,22775,NÆRØYSUND,5060,Kvaløya
1299,19356,FLATANGER,5049,Kvalrosskjæret
242,11863,FLEKKEFJORD,1004,Kvalsberget
1299,14243,LEIRFJORD,1822,Kvalvågen
1299,11074,RØDØY,1836,Kvalvika
297,13792,BERG,1929,Kvalvika I
1299,13501,FJALER,4646,Kvamen
771,13831,OSTERØY,4630,Kvamme
87,20539,ASKVOLL,1428,Kvammen
1299,12213,VOLDA,1577,Kvangardsnes
48,12499,RINGSAKER,0412,Kvannbekken
1299,20576,LOABÁK - LAVANGEN,5518,Kvanntoneset
48,13574,RINGSAKER,0412,Kvarstadsetra
1052,13963,STORD,4614,Kvarvaneset
456,11840,LYNGDAL,1032,Kvås
1299,21337,LURØY,1834,Kveitholmen
1299,35377,FRØYA,5014,Kveitskjeret
1299,15860,SENJA,5530,Kvenbukta V
1299,45180,STRAND,1130,Kvera
1299,33897,SOLUND,4636,Kverhella
1299,39197,SOLUND,4636,Kverhelleskjeret
107,12716,NÆRØY,1751,Kvernan
1235,32217,SVEIO,4612,Kvernaneset
241,11499,AUSTEVOLL,1244,Kvernavatnet
1299,10287,ØYGARDEN,4626,Kvernavika
1299,24975,TYSNES,4616,Kvernavika
130,12524,HVALER,0111,Kverndalen
328,10390,ÅMOT,0429,Kvernen Gård I
328,34157,ÅMOT,0429,Kvernen Gård II
1299,28196,NARVIK,1806,Kvernes
1299,11714,SOLUND,4636,Kvernhusvika
1299,13327,ØYGARDEN,4626,Kvernhusvika
87,10418,LEKA,1755,Kvernvika
1299,12686,NAMSOS,5007,Kvernvikvatnet
1299,10041,AUSTEVOLL,4625,Kviksholmen
1299,13482,MASFJORDEN,4634,Kvinge S
1299,36457,LEKA,5052,Kvingra
1299,35997,KVÆNANGEN,5546,Kviteberg
1299,13813,LEBESBY,5624,Kvitelv
1299,11775,ASKVOLL,4645,Kviteskjeret
1299,30216,SENJA,5530,Kvitfloget
1299,45129,SMØLA,1573,Kvitholmen
80,27696,SMØLA,1573,Kvitholmen 2
1299,39037,KRISTIANSUND,1505,Kvitingen Ved Grip
1299,10872,BRØNNØY,1813,Kvitneset
1149,12727,NÆRØYSUND,5060,Kvitneset
1299,35777,HERØY I NORDLAND,1818,Kvitskjæret
117,28616,GRATANGEN,1919,Kvitsteinvika
53,11196,VESTVÅGØY,1860,Kylpesnes I
1299,11803,FJALER,4646,Kyravika
1299,20595,AUSTEVOLL,4625,Kyrholmen S
1299,30076,NÆRØYSUND,5060,Kyrøyene
1299,13234,ULLENSVANG,4618,Kysnes
1299,34657,MASFJORDEN,4634,Laberget
241,25795,NESNA,1828,Labukta
1299,45136,NESNA,1828,Labukta
1299,10989,HERØY I NORDLAND,1818,Labukta V
1299,45193,GISKE,1532,Ladeberget 4
1299,38957,BOKN,1145,Låderskjera
95,26255,HAREID,1517,Lågåsen
1299,15460,NORDKAPP,5620,Laholmen
1299,12422,HITRA,5056,Laksåvatnet Laksåvik
1299,23035,TROMSØ,5501,Lakseklubbukta
1154,10080,ALVER,4631,Laksevika
329,20537,FOSNES,1748,Lakshammervika
420,21775,SØMNA,1812,Laksvika
1299,10898,BRØNNØY,1813,Lamholmen
109,12732,NÆRØY,1751,Lamholmen
1299,45195,FLATANGER,5049,Lamholmen
95,23355,ALSTAHAUG,1820,Lamholmskjæran
66,12333,SANDE I MØRE OG ROMSDAL,1514,Lammeneset
1299,12993,FRØYA,5014,Lamøya
1299,40097,HAMARØY,1875,Lamøystraumen
1299,12667,NAMSOS,5007,Landfallvika
1299,39357,VÅGAN,1865,Landfastøya
128,25455,TYSNES,1223,Landrøypynten
1299,34317,GRIMSTAD,4202,Landvik
1299,34457,KARLSØY,5534,Langås
1299,11928,STAVANGER,1103,Langavika
69,13502,ØYSTRE SLIDRE,0544,Langedalsbrua
86,15216,FLORA,1401,Langeneset II
130,13601,HVALER,0111,Langenesholmen
1299,11791,KINN,4602,Langeråa
119,20000,STORD,1221,Langeskjer
1299,16497,BØMLO,4613,Langevågen
1299,11116,GILDESKÅL,1838,Langholmen
1299,11625,ØYGARDEN,4626,Langholmen
1299,12834,LILLESAND,4215,Langholmen
1047,24715,STAVANGER,1103,Langholmen
1299,34637,HADSEL,1866,Langholmen N
1299,26876,HADSEL,1866,Langneset
1299,45154,KARLSØY,5534,Langneset
1299,11767,SOLUND,4636,Langøy
1299,26295,ALVER,4631,Langøy
1299,38597,FRØYA,5014,Langøy Sør
1299,45081,HERØY I NORDLAND,1818,Langøya
1299,12380,FRØYA,5014,Langøya Kvaløya
512,13002,HERØY I NORDLAND,1818,Langøya Nnv
203,11209,VESTVÅGØY,1860,Langøya Nø II
1299,11238,ØKSNES,1868,Langøyhovden
1299,13055,TYSVÆR,1146,Langøyna Ø
1038,45009,NESNA,1828,Langsetvågen
1299,45118,NESNA,1828,Langsetvågen
1299,20559,FRØYA,5014,Langskjæra
1299,33557,FRØYA,5014,Langskjæra II
1299,28036,GILDESKÅL,1838,Langskjæran
1299,10598,BRØNNØY,1813,Langskjæret Ø
1299,12822,STJØRDAL,5035,Langstein
53,11077,RØDØY,1836,Langstrandgalten
1299,45236,FRØYA,5014,Langtaren
240,11558,BERGEN,1201,Lars Hillesgt 34
90,10705,LYNGEN,1938,Larsbergbukta
1299,37297,KARLSØY,5534,Larstangen
216,30798,ØKSNES,1868,Lassetangen
1299,38377,HEMNES,1832,Lassevika I
247,13697,VINDAFJORD,1160,Lasvik
1299,15957,UNJÁRGA - NESSEBY,5636,Latvika
1299,45124,ASKVOLL,4645,Laukelandsøyna
47,22695,AURE,1576,Laukholmen
606,25735,HAMARØY,1875,Signaluokta
1299,45185,FLATANGER,5049,Laukøya
436,28476,SKJERVØY,1941,Lauksund Kai
1299,11438,BOKN,1145,Lauplandsholmen
83,20736,HAREID,1517,Laupsneset
1299,33777,UNJÁRGA - NESSEBY,5636,Lausklubben
1299,45122,HARAM,1580,Lausund
1299,39277,HYLLESTAD,4637,Lauvholmgrunnen
67,11672,SOLUND,1412,Lauvika
260,10467,HATTFJELLDAL,1826,Lauvlia
260,11052,HATTFJELLDAL,1826,Lauvlia Nv I
260,13122,HATTFJELLDAL,1826,Lauvlia Nv II
167,17275,ASKØY,1247,Lauvøy Sø
1299,38977,ÅFJORD,5058,Lauvøya
1299,12623,FLATANGER,5049,Lauvsnes
1299,19355,STAVANGER,1103,Låva
93,11327,GRATANGEN,1919,Lavik
1299,10869,BRØNNØY,1813,Lavika
1299,11350,SENJA,5530,Lavika
438,12416,AURE,1576,Leddalsvatn
1299,13340,GULEN,4635,Leiholmane
1299,10246,ØRLAND,5057,Leikvangbukta Land
443,12744,BJUGN,5017,Leikvangbukta Sjø
1299,45233,SENJA,5530,Leikvika
60,13085,ALVDAL,0438,Leirdiket
1299,26675,LURØY,1834,Leirholmen
1299,38117,GULEN,4635,Leirøyna
1299,30857,GILDESKÅL,1838,Leirvik
1299,13699,MASFJORDEN,4634,Leirvika
1299,12683,NAMSOS,5007,Leirvikholmen
1299,12870,AVERØY,1554,Leite
1299,19098,FAUSKE,1841,Leivsethamran
164,12701,LEKA,1755,Lekafjorden
1299,34257,LEKA,5052,Lekafjorden II
135,13012,TRANØY,1927,Lekangsund
1299,23056,SENJA,5530,Lekangsund II
1299,19738,BINDAL,1811,Lekvika
1299,14086,BØMLO,4613,Lelandsholmen
69,11562,OS I HORDALAND,1243,Lendevika
1299,13742,NAMSOS,5007,Lennavika
1299,13906,NAMSOS,5007,Lennavika
1299,13179,ORKLAND,5059,Lensvik
238,10120,FORSAND,1129,Lerangsvågen
1299,11927,SANDNES,1108,Lerangsvågen Land
1299,35977,RØDØY,1836,Lian
1299,11745,SOLUND,4636,Lianeset
1299,45088,SVEIO,4612,Liereid
240,13632,SVEIO,1216,Liervatnet
1299,10990,DØNNA,1827,Lille Åsvær
1299,36497,LØDINGEN,1851,Lille Djupfest
1299,10840,ALTA,5601,Lille Kufjord
1299,13317,ALTA,5601,Lille Kvalfjord
1299,10262,NÆRØYSUND,5060,Lille Kvitholmen
79,11202,VESTVÅGØY,1860,Lille Moholmen Ø
79,10489,VESTVÅGØY,1860,Lille Moholmen V
233,19835,VIKNA,1750,Lille Sandholm
436,10823,LOPPA,2014,Lille Skognes
1299,12392,HITRA,5056,Lille Torsøy
1050,29056,HITRA,5056,Lille Torsøy II
1299,11411,HADSEL,1866,Lilleelv
125,31977,DYRØY,1926,Lilleng
1299,28396,TYSNES,4616,Lindarholmen
1299,12212,GLOPPEN,4650,Lindeneset
110,15040,LINDÅS,1263,Lindetoneset
82,10258,FLATANGER,1749,Lindøya
1299,12966,VINDAFJORD,1160,Lindvik
695,12934,RISØR,4201,Lindvika
442,29996,RØDØY,1836,Linesvika
1299,45044,RØDØY,1836,Linesvika
1299,45066,KVAM,4622,Lingaholmane
1299,14076,BRØNNØY,1813,Lismåsøy
1299,45217,FARSUND,4206,Lista Fly- Og Næringspark
1299,35317,DYRØY,5528,Litjevika
103,14126,STORD,1221,Litlaneset
86,26115,AUSTEVOLL,1244,Litle Flatøy
1299,14039,AUSTEVOLL,4625,Litle Lunnøy
1299,11410,SORTLAND,1870,Litleøya
1299,13876,OSTERØY,4630,Litletveitholane
79,27616,GULEN,1411,Litlevik
47,27195,BØ I NORDLAND,1867,Litløy
1299,12022,KVAM,4622,Ljonesbjørgene
1299,12079,KVAM,4622,Ljonesvågen
1299,11671,ØYGARDEN,4626,Ljøsnes
1299,14435,ØYGARDEN,4626,Ljøsøy N
1299,28996,SVEIO,4612,Loddetå
1299,12342,VESTRE SLIDRE,3452,Lofoss Mølle
1299,35837,HUSTADVIKA,1579,Løken Gård
1299,12341,VESTRE SLIDRE,3452,Lomen Slidrefjorden
273,31378,NORDKAPP,2019,Lomholet
1299,12719,NÆRØYSUND,5060,Lonet I Naustbukta
1299,40137,ØRLAND,5057,Lønngrunnen
1299,12141,BJØRNAFJORDEN,4624,Lønningdal II
1299,14556,BJØRNAFJORDEN,4624,Lønningdal III
1299,16216,ØKSNES,1868,Lønskog
1299,12545,ÅMOT,3422,Løpet
1299,16796,TYDAL,5033,Løvøya
207,11887,SULDAL,1134,Lovraeidet
1299,33277,LURØY,1834,Lovund Smolt
1299,13549,BREMANGER,4648,Løypingneset
1299,36757,KARLSØY,5534,Lubben
773,12530,RAKKESTAD,3016,Lund
98,26275,LURØY,1834,Lunderøy
98,10963,LURØY,1834,Lunderøy V
1299,45110,FARSUND,4206,Lundevågen
76,12974,AUSTEVOLL,1244,Lunnøy Sø
181,27075,AUSTEVOLL,1244,Lunnøykalven
1299,45235,FJALER,4646,Lutelandet
1299,14043,RAUMA,1539,Lybergsvika
1299,10292,BØMLO,4613,Lyklingholmen N
1299,45206,SOLUND,4636,Lyngholmane
207,12231,VANYLVEN,1511,Lyngholmen
1299,12978,GULEN,4635,Lyngholmen
1299,33337,BJØRNAFJORDEN,4624,Lyngnes
1299,32057,NÆRØYSUND,5060,Lyngøy
1299,45146,HARSTAD,5503,Lyngøya
44,30237,SMØLA,1573,Lyngprakken
1299,45229,RØDØY,1836,Lyngvær
1299,12385,FRØYA,5014,Lyngvær Ø II
46,26036,FLATANGER,1749,Lyngværet I
1299,45024,STAVANGER,1103,Lyregrunnen
1299,12633,FLATANGER,5049,Lyrnesset
1299,45096,KVÆFJORD,5510,Lysålandet
1299,45132,GRAN,3446,Lysentangen
1299,12127,KVINNHERAD,4617,Mælen
293,14682,LØDINGEN,1851,Mågen
1299,35477,FLATANGER,5049,Makrellskjæret
1299,37537,HERØY I MØRE OG ROMSDAL,1515,Måløysundet
149,12331,SANDE I MØRE OG ROMSDAL,1514,Maltvika
1299,10232,FRØYA,5014,Mannbruholmen
1299,12370,FRØYA,5014,Måøydraga
1299,12134,KVINNHERAD,4617,Maradalen
1299,32977,HØYANGER,4638,Måren
694,28358,AUSTEVOLL,4625,Marholmen
1299,36577,BERGEN,4601,Marineholmen Forskingspark
1299,13550,BREMANGER,4648,Marøy Nø
1299,10611,LOPPA,5614,Marøya
1299,13685,NÆRØYSUND,5060,Marøya
1144,15516,LEBESBY,5438,Mårøyfjord
291,10093,FLORA,1401,Marøysundet
1299,11810,KINN,4602,Marøysundet II
1299,11807,KINN,4602,Marøytåa
1299,10814,ALTA,5601,Mårsanjarga
81,20397,ALTA,2012,Mårsanjarga V
1299,13139,STEIGEN,1848,Martnesvika
200,11901,SULDAL,1134,Marvik
1299,34437,FRØYA,5014,Måsskjæra
1073,22555,ÅFJORD,5058,Masterholman
121,31037,ROAN,1632,Masterholman II
1299,15315,SØRFOLD,1845,Mastermovika II
1299,40257,HEMNES,1832,Mastervika
1299,10137,BJØRNAFJORDEN,4624,Matland
1299,21915,FITJAR,4615,Matløyso
93,12151,MASFJORDEN,1266,Matreberget
1299,10156,MASFJORDEN,4634,Matredal
1299,36117,SØRFOLD,1845,Matvika
437,28556,FRØYA,5014,Mausund
1299,38517,LURØY,1834,Måvær
264,22795,AVERØY,1554,Meek
1299,10447,ALSTAHAUG,1820,Mefaldskjæret
1299,13477,RANDABERG,1127,Mekjarvik
1299,31637,HERØY I NORDLAND,1818,Melkøya
231,12150,VAKSDAL,1251,Melledalssundet
1299,28956,MELØY,1837,Meløysjøen
1299,45230,HASVIK,5616,Meltefjord
1299,10492,VESTVÅGØY,1860,Meøypollen
1299,12904,MOLDE,1506,Merraberget
265,26975,MIDSUND,1545,Midsundbukta
1299,21397,GILDESKÅL,1838,Midt Femris
1299,13541,TYSNES,4616,Midtflua
1299,45200,STAD,4649,Midthjell
1299,18336,HØYANGER,4638,Midtneset
292,18659,SVEIO,1216,Midtvikøy
233,11428,DYRØY,1926,Mikkelbostad
1299,34277,BØ I NORDLAND,1867,Mikkelsøya
43,10506,BØ I NORDLAND,1867,Mikkelsøya Ø
112,19155,NESODDEN,0216,Mikkelstrand
1163,29596,NORDKAPP,5435,Misjona
1276,10078,GULEN,4635,Mjånes
1299,12047,BJØRNAFJORDEN,4624,Mjåneset
1299,11899,BJERKREIM,1114,Mjåvatnet
1244,11653,GULEN,4635,Mjølbærvika
167,10129,HJELMELAND,1133,Mjølhus
1299,26435,HØYANGER,4638,Mjølsvik
55,26735,BODØ,1804,Mjønes
1299,36257,KARLSØY,5534,Mjønes
1299,37057,IBESTAD,5514,Mjøsund Vest
1299,11064,RANA,1833,Svabo
1222,11066,RANA,1833,Mo Industripark
1299,11067,RANA,1833,Mo Industripark
1222,11065,RANA,1833,Mo Industripark II
695,13808,RISØR,4201,Moensskåt
1299,34877,LURØY,1834,Moflaget
1299,34057,DYRØY,5528,Mohamn
244,15635,BØ I NORDLAND,1867,Møkland
1299,34237,FYRESDAL,4032,Molandsmoen
1299,11772,FEDJE,4633,Moldøyosen
1299,12737,ORKLAND,5059,Moldtua
1299,13293,VÅGAN,1865,Molgavlen
434,33837,BINDAL,1811,Møllebogen
1299,36077,HARSTAD,5503,Mollvika
1299,11220,FLAKSTAD,1859,Mølnarodden
1183,12107,ETNE,4611,Molnes
1299,12325,HERØY I MØRE OG ROMSDAL,1515,Moltustranda
1299,45177,ALVER,4631,Mongstad
1299,10382,ÅFJORD,5058,Møriholmen
1299,36377,AVERØY,1554,Mork II
208,12751,ÅFJORD,1630,Morkafjorden
1299,10483,BODØ,1804,Mørkvedbukta
155,14080,BODØ,1804,Mørkvedbukta
1299,15520,BODØ,1804,Mørkvedbukta S
1299,10877,BRØNNØY,1813,Mortenøy
1299,10794,ALTA,5601,Mortensnes
1299,29516,VESTVÅGØY,1860,Mortsund
192,12105,ETNE,1211,Mortveitvatn
1299,12505,SØNDRE LAND,3447,Moshagen
1299,30157,SØRFOLD,1845,Movik
1299,33657,LURØY,1834,Movikodden N
1299,35277,NARVIK,1806,Mulbukt
1299,45004,STEIGEN,1848,Mulen
1299,10858,BINDAL,1811,Mulingen
1299,35617,GILDESKÅL,1838,Mulnesodden
1076,45028,GILDESKÅL,1838,Mulnesodden S
1299,13629,TYSVÆR,1146,Munkholmen
1299,36877,FRØYA,5014,Munkskjæra
1052,10671,HAMMERFEST,5406,Munningen Av Kokelva
1299,27215,VESTNES,1535,Myrane
235,15355,MÅSØY,2018,Myrfjord
1299,11332,GRATANGEN,5516,Myrlandshaug
214,13053,FINNØY,1141,Nådå
1299,33997,HASVIK,5616,Næringsbukta
1299,29957,LYNGDAL,4225,Nakkestad
1299,11864,FLEKKEFJORD,4207,Napp
1299,10303,BØMLO,4613,Nappeholmane
152,12612,ROAN,1632,Naustholman
1299,10978,LURØY,1834,Naustholmen
118,11709,GULEN,1411,Naustholmen
1299,20475,LURØY,1834,Naustholmen Ø
1299,10213,GJEMNES,1557,Naustneset
1299,34477,OSEN,5020,Nausttaren
1214,11510,BØMLO,4613,Naustvika
1299,25717,BOKN,1145,Nautøya
1299,13221,STAVANGER,1103,Nautvik
132,15624,ØKSNES,1868,Navarsborneset S
1299,11611,AUSTEVOLL,4625,Naveide
1299,24937,KVINNHERAD,4617,Nebbo
1299,13716,VESTRE SLIDRE,3452,Nedre Hande
1299,10513,SØRFOLD,1845,Nedre Kvarv
1299,29796,BÅTSFJORD,5632,Neptunbruket
1299,10362,ÅS,3218,Nmbu Fiskelaboratoriet
1299,13178,ORKLAND,5059,Nernesset
1131,13965,ALVER,4631,Nesbø Gjeldsvik
414,13539,TYSVÆR,1146,Neset
1299,17576,GULEN,4635,Nesevågen
1299,11682,ALVER,4631,Nesfossen
76,10301,FITJAR,1222,Nesholmen
1299,45203,NESODDEN,3212,Nesoddtangen
75,12774,ALVDAL,0438,Nestebymoen
198,11117,GILDESKÅL,1838,Nestskjæret N
1299,10765,TROMSØ,5501,Nfh Bygg
1299,45145,ÅS,3218,Nmbu Veterinærhøgskolen
1299,15659,KVÆNANGEN,5546,Nøklan
1299,10364,NORD-AURDAL,3451,Noraker Gård
1299,11041,HERØY I NORDLAND,1818,Nord Gåsvær
1299,10375,ORKLAND,5059,Nord Leksa
46,12249,MIDSUND,1545,Nord-Heggdal
1299,23816,NESNA,1828,Nordbotnet
59,31197,TYSFJORD,1850,Nordbukt
1299,13713,KINN,4602,Norddal
1299,14495,STAVANGER,1103,Nordeimsøyna
1299,45014,STEIGEN,1848,Nordfoldleira I
1299,11129,GILDESKÅL,1838,Nordfugløy
1299,26315,NÆRØYSUND,5060,Nordgjæslingan
1299,12474,AURE,1576,Nordheim
1299,10791,ALTA,5601,Nordnes
1299,31597,BERGEN,4601,Nordnes
1142,45105,BERGEN,4601,Nordnes 1
1299,40357,HAMMERFEST,5603,Nordnesbukta
1299,45207,ALSTAHAUG,1820,Nordneset
106,11729,SOLUND,1412,Nordpollen
514,24436,KVITSØY,1144,Nordre Hestholmen S
1299,38277,OSEN,5020,Nordre Skokkeløy
69,12540,ELVERUM,0427,Nordset
1299,45140,RØDØY,1836,Nordskaftet
1299,19457,FRØYA,5014,Nordskag
457,10039,FJELL,1246,Nordvika
82,18575,FLATANGER,1749,Nordvika
1299,35257,UTSIRA,1151,Nordvikvågen
1299,33937,SMØLA,1573,Nørholmen
207,30617,ÅLESUND,1504,Nørvevika
1299,10388,HALDEN,3101,Nøsterød Gård
238,14135,FINNØY,1141,Notaholmen Øsø
1143,12649,ÅFJORD,5058,Nunfjord
1299,11213,FLAKSTAD,1859,Nusfjord
1269,45018,MOLDE,1506,Ny-Hellaren
292,27456,OSTERØY,1253,Nye Bruvik
1299,35897,ULLENSVANG,4618,Nye Hessvik
1299,33297,DØNNA,1827,Nye Skorpa
1299,13020,SAMNANGER,4623,Nygård
1299,21355,STEIGEN,1848,Nygård
327,12548,ÅMOT,0429,Nygårdsmoen
1299,13940,ØKSNES,1868,Nyksund
98,12122,FUSA,1241,Nymark
1299,11063,HEMNES,1832,Nymoen
68,10394,ÅMOT,0429,Nysæther
1299,12110,BJØRNAFJORDEN,4624,Nystølen
1299,24495,BJØRNAFJORDEN,4624,Nystølvågen
1299,34537,BJØRNAFJORDEN,4624,Nystølvågen II
1299,11921,STRAND,1130,Oanes Land
1299,11922,STRAND,1130,Oanes Sjø
1299,27055,KINN,4602,Oddane
138,15595,NÆRØY,1751,Oddneset
1299,11168,VÅGAN,1865,Oddværsætra
305,12801,RISSA,1624,Ofaret
1299,34757,BØMLO,4613,Øklandsvåg II
1299,11537,BØMLO,4613,Øklandsvågen
416,19739,ØRSTA,1520,Øksavika
1299,37077,BINDAL,1811,Oksbåsen
1299,10181,GISKE,1532,Oksebåsen V
1299,31697,ØYGARDEN,4626,Oksen
1299,11272,SALTDAL,1840,Øksengård
1299,30559,AUSTRHEIM,4632,Øksneset
218,13614,SANDNES,1102,Øksnevad I
1299,14019,BINDAL,1811,Øksningen
1299,11320,STEIGEN,1848,Oksøy
1299,34377,KRISTIANSAND,4204,Oksøy
1299,36597,NAMSOS,5007,Oksskardvika
1299,10795,LOPPA,5614,Olaneset
1299,33737,FRØYA,5014,Olausskjæret
1299,12745,ØRLAND,5057,Olden
1299,27876,SØMNA,1812,Olderbakken
1299,10790,HAMMERFEST,5603,Olderfjord
1299,12020,KVINNHERAD,4617,Olderhola
1299,15403,SOLUND,4636,Olderøy
1299,22995,GILDESKÅL,1838,Oldervik
1299,12746,ØRLAND,5057,Oldøya
1299,10380,ØRLAND,5057,Oldøya N
1299,45222,MELØY,1837,Olhåksaøya
207,12676,FOSNES,1748,Ølhammaren
58,13602,HAMMERFEST,2004,Olnasbukta
1299,38797,FRØYA,5014,Oløya N
298,34337,MOSKENES,1874,Olstind
1299,11908,GJESDAL,1122,Oltesvik
1299,28676,LURØY,1834,Olvika
1299,12071,SULDAL,1134,Ommundsteigen
1299,12383,HITRA,5056,Omsøyholman
1299,10323,TYSNES,4616,Onarheim
1299,39977,TYSNES,4616,Onarheim II
1299,10136,TYSNES,4616,Onarøy
106,17516,ØYGARDEN,1259,Ono
1299,45228,ØYGARDEN,4626,Ono
1299,15777,GJEMNES,1557,Onsøyholmen
172,16215,ØKSNES,1868,Oppmyrbogen
1164,45026,ØKSNES,1868,Oppmyrbogen
1049,10197,STRANDA,1525,Opshaugvik
1038,18356,STRANDA,1525,Opshaugvik Land
1299,19875,KRISTIANSUND,1505,Or
1299,33917,MELØY,1837,Øren
1299,39937,AUKRA,1547,Orholmen
1299,12919,HUSTADVIKA,1579,Ørjavik
256,12769,ALVDAL,0438,Orklebekkdammen
1299,17235,LURØY,1834,Ørnes
1299,30518,SENJA,5530,Ørnfjordbotn
1299,45077,HAMARØY,1875,Ørnhaugneset
1299,12394,FRØYA,5014,Ørnøya
1299,24696,FRØYA,5014,Ørnøya II
527,11088,RØDØY,1836,Ørnstolen
1299,37317,VÅGAN,1865,Ørsnes
1299,33817,KRISTIANSUND,1505,Orstranda
1299,35757,HØYANGER,4638,Ortnevik
128,10474,RANA,1833,Ørtvatn
1299,13181,NÆRØYSUND,5060,Osavatnet
1152,13888,HITRA,5056,Osholmen
1299,12180,HØYANGER,4638,Osland II
1299,12179,HØYANGER,4638,Oslandsurda
1299,12096,BJØRNAFJORDEN,4624,Ospenes
1299,19655,ALVER,4631,Ospeneset
1299,10050,BØMLO,4613,Ospøy Ø
154,15835,KARMØY,1149,Østhus
1299,13691,SØR-VARANGER,5605,Oterfjorden
53,11004,HERØY I NORDLAND,1818,Oterholman Sø
1299,13959,NÆRØYSUND,5060,Oterholmen
1299,11205,VESTVÅGØY,1860,Oterholmen I
1299,31397,HARSTAD,5503,Oterneset
1299,13345,BJØRNAFJORDEN,4624,Oterstegdalen
1299,40117,BINDAL,1811,Otervika
1299,11738,ALVER,4631,Otterholmen
1299,13554,STRANDA,1525,Overåneset
1168,20315,STRANDA,1525,Overåneset V
1299,11378,HARSTAD,5503,Øvergården
242,13565,LINDÅS,1263,Øvreås
1299,19975,GILDESKÅL,1838,Øya
450,20015,AURE,1576,Øyabukta
1299,13153,KVINESDAL,4227,Øye
1040,39337,KVINESDAL,4227,Øye II
1299,12032,KVINNHERAD,4617,Øyerhamn
439,11164,VÅGAN,1865,Øyhellsundet
288,11677,OSTERØY,1253,Øyjordsvika
327,13536,RISØR,0901,Øymoen
1299,34697,LEBESBY,5624,Øyra
607,13600,RISØR,4201,Øystrand
1299,26835,FRØYA,5014,Pålskjæra
1299,10062,ØYGARDEN,4626,Parisvatnet
1299,33417,ØRLAND,5057,Persflua
292,18257,RENNESØY,1142,Persholmen
139,18475,BREMANGER,1438,Pervika
1299,33517,MÅSØY,5618,Petternes
1299,11854,FLEKKEFJORD,4207,Pinnen
1038,12569,RØROS,5025,Pinsti
1299,36437,VÅGAN,1865,Pollan
1299,10841,ALTA,5601,Pollen
521,13786,SORTLAND,1870,Pollneset
1299,18255,ØYGARDEN,4626,Porsvika
1299,11688,HYLLESTAD,4637,Portevika
1135,19175,GULEN,4635,Pøyla
1299,11972,STAVANGER,1103,Prestholmane
191,29676,VÅGAN,1865,Pundslett
1163,19556,NARVIK,1806,Pundsvik
1299,45060,NARVIK,1806,Pundsvik I
1299,45198,NÆRØYSUND,5060,Purkholmen
53,21520,SØRFOLD,1845,Purkvika
148,12253,MIDSUND,1545,Ræstad
1299,33037,MOLDE,1506,Ræstad II
1299,10149,ETNE,4611,Rafdal
1299,30637,HAMARØY,1875,Rahkasluokta
1299,10806,KVÆNANGEN,5546,Rakkenes
442,10873,BRØNNØY,1813,Råkneset
109,11039,HERØY I NORDLAND,1818,Raltholmen V
121,27836,BRØNNØY,1813,Ramnbergvikan
1299,45029,DØNNA,1827,Ramnøya N
773,10996,DØNNA,1827,Ramnøya S
695,13953,RISØR,4201,Ramskjær
113,24675,FLORA,1401,Ramsøy
1299,11651,ASKØY,4627,Ramsøy S
1299,13581,NÆRØYSUND,5060,Ramstadholmen
1299,11687,ALVER,4631,Ramsvik
1299,45114,HUSTADVIKA,1579,Ramsvikneset
103,22016,HURUM,0628,Ramvikholmen
81,23196,LILLESAND,0926,Randvik
1299,12811,ÅFJORD,5058,Rånes Mindebukta
1299,39897,FROSTA,5036,Ranskjæret Frosta Sør
