is_slaughter_boat,is_wellboat,mmsi,ship_register_vessel_type,ship_register_vessel_type_name_en,ship_register_vessel_type_name_no,ship_type,vessel_name
false,false,257187900,8K1,DRY FODDER BOAT,FORINGSBÅT,33,AUD MARGRETHE
false,false,257165340,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,AUD WILLIKSEN
false,false,257002590,7A1,TUG,SLEPEBÅT,52,AUDAX
false,false,259000420,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AUGUSTSON
false,false,248820000,,,,37,AUMICHAKIAD
false,false,257209400,4B,GENERAL DRY CARGO SHIP,STYKKGODSSKIP: VANLIG STYKKGODS,99,AURE
false,false,257779900,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,AUREN
false,false,258373500,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,33,AURORA
false,false,257727700,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AURORA
false,false,259036280,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AURORA
false,false,259560000,5I5,CATAMARAN PASSENGER/GENERAL CARGO,KATAMARAN KOMB. PASSASJER/STYKKGODS,60,AURORA OF THE FJORDS
false,false,257071280,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,70,AUSTAVIND
false,false,257004610,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,AUSTBRIS
false,false,258020030,5I4,CATAMARAN PASSENGER,KATAMARAN PASSASJER,58,AUSTEVOLLJENTA
false,false,258030550,9C,PLEASURE CRAFT/YACHT,FRITIDSFARTØY,53,AUSTLENDINGEN
false,false,257039830,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,90,AUVÆR
false,false,257010390,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,56,AYLA
false,false,259030060,,,,70,BABS
false,false,257931600,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,99,BÅFJORD
false,false,259537000,6D,FISHING VESSEL,FISKE/FANGSTFARTØY: FISKE,30,BAKKE JR
false,false,257090270,8K,SMALL WORK BOAT,SPESIALSKIP: MINDRE ARBEIDSBÅT,79,BALDER
